Agency Name,Agency Expense,Agency Link
Department of Agriculture,$2.7B,https://itdashboard.gov/drupal/summary/005
Department of Commerce,$2.8B,https://itdashboard.gov/drupal/summary/005
Department of Defense,$36B,https://itdashboard.gov/drupal/summary/005
Department of Health and Human Services,$7.0B,https://itdashboard.gov/drupal/summary/005
Department of the Interior,$1.5B,https://itdashboard.gov/drupal/summary/005
Department of Justice,$3.1B,https://itdashboard.gov/drupal/summary/005
Department of Labor,$819M,https://itdashboard.gov/drupal/summary/005
Department of State,$2.6B,https://itdashboard.gov/drupal/summary/005
Department of the Treasury,$5.4B,https://itdashboard.gov/drupal/summary/005
Social Security Administration,$2.0B,https://itdashboard.gov/drupal/summary/005
Department of Education,$1.0B,https://itdashboard.gov/drupal/summary/005
Department of Energy,$3.1B,https://itdashboard.gov/drupal/summary/005
Environmental Protection Agency,$385M,https://itdashboard.gov/drupal/summary/005
Department of Transportation,$3.5B,https://itdashboard.gov/drupal/summary/005
General Services Administration,$765M,https://itdashboard.gov/drupal/summary/005
Department of Homeland Security,$7.4B,https://itdashboard.gov/drupal/summary/005
Department of Housing and Urban Development,$447M,https://itdashboard.gov/drupal/summary/005
National Aeronautics and Space Administration,$2.2B,https://itdashboard.gov/drupal/summary/005
Office of Personnel Management,$125M,https://itdashboard.gov/drupal/summary/005
Small Business Administration,$129M,https://itdashboard.gov/drupal/summary/005
Department of Veterans Affairs,$9.1B,https://itdashboard.gov/drupal/summary/005
U.S. Agency for International Development,$256M,https://itdashboard.gov/drupal/summary/005
U.S. Army Corps of Engineers,$275M,https://itdashboard.gov/drupal/summary/005
National Archives and Records Administration,$99.9M,https://itdashboard.gov/drupal/summary/005
National Science Foundation,$136M,https://itdashboard.gov/drupal/summary/005
Nuclear Regulatory Commission,$141M,https://itdashboard.gov/drupal/summary/005
